home_team,away_team,home_score,away_score,start_date
Wake Forest University,Temple University,4,0,08-22-2024
University of Delaware,Virginia Polytechnic Institute and State University,0,1,08-22-2024
Queens University of Charlotte,Western Carolina University,2,1,08-22-2024
Bucknell University,"University of Maryland, Baltimore County",3,0,08-22-2024
Boston University,University of Massachusetts Lowell,0,1,08-22-2024
Florida State University,Rice University,3,0,08-22-2024
Fordham University,Drexel University,1,0,08-22-2024
Florida Atlantic University,Florida International University,0,2,08-22-2024
Campbell University,North Carolina State University,2,1,08-22-2024
University at Albany,Monmouth University,0,6,08-22-2024
Seton Hall University,Lehigh University,1,2,08-22-2024
University of Missouri-Kansas City,Emporia State University,2,0,08-22-2024
Auburn University,The University of Southern Mississippi,6,0,08-22-2024
University of Louisville,University of New Hampshire,1,1,08-22-2024
Western Kentucky University,Union University,4,0,08-22-2024
University of Illinois Urbana-Champaign,"University of Missouri, Columbia",1,1,08-22-2024
University of San Francisco,Northeastern University,1,0,08-22-2024
Colorado College,South Dakota State University,1,0,08-22-2024
U.S. Air Force Academy,California Baptist University,1,0,08-22-2024
Texas Tech University,St. Bonaventure University,5,0,08-22-2024
Tennessee Technological University,Saint Mary's College of California,0,4,08-22-2024
University of Southern Indiana,Robert Morris University,2,2,08-22-2024
Vanderbilt University,Belmont University,5,0,08-22-2024
Saint Louis University,Brigham Young University,1,1,08-22-2024
Oral Roberts University,McNeese State University,1,0,08-22-2024
University of Louisiana Monroe,Grambling State University,3,1,08-22-2024
Oklahoma State University,University of Oklahoma,1,0,08-22-2024
University of Louisiana at Lafayette,Middle Tennessee State University,5,1,08-22-2024
University of Houston,Stephen F. Austin State University,0,0,08-22-2024
Prairie View A&M University,University of the Incarnate Word,0,3,08-22-2024
University of Kansas,The University of Tulsa,2,2,08-22-2024
Louisiana Tech University,University of South Alabama,0,2,08-22-2024
University of Mississippi,Georgia State University,2,0,08-22-2024
Abilene Christian University,Lamar University,0,0,08-22-2024
University of Alabama,University of North Alabama,3,1,08-22-2024
University of North Texas,Texas Southern University,2,0,08-22-2024
Tarleton State University,Austin College,8,0,08-22-2024
University of Nebraska-Lincoln,Duke University,0,3,08-22-2024
Texas State University,University of Texas at San Antonio,1,0,08-22-2024
New Mexico State University,University of Oregon,2,1,08-22-2024
"University of California, Irvine",University of San Diego,1,1,08-22-2024
University of Texas at El Paso,Texas A&M University-Commerce,1,0,08-22-2024
"California State University, Fresno",Weber State University,2,1,08-22-2024
University of Northern Colorado,Colorado State University,0,3,08-22-2024
Utah Tech University,"University of Nevada, Las Vegas",3,2,08-22-2024
"University of Colorado, Boulder",University of Wyoming,5,1,08-22-2024
University of Utah,Grand Canyon University,1,1,08-22-2024
San Jose State University,"University of California, Davis",1,2,08-22-2024
University of New Mexico,"University of California, Riverside",1,0,08-22-2024
California Polytechnic State University,"University of California, Los Angeles",0,1,08-22-2024
University of Washington,Seattle University,1,1,08-22-2024
Long Beach State University,Santa Clara University,1,2,08-22-2024
Arizona State University,University of Arkansas at Little Rock,0,0,08-22-2024
"California State University, Fullerton","University of Nevada, Reno",5,1,08-22-2024
University of Arizona,Northern Arizona University,5,0,08-22-2024
San Diego State University,Stanford University,1,3,08-22-2024
Washington State University,University of Montana,3,0,08-22-2024
"University of Hawaii, Manoa",University of Portland,0,1,08-23-2024
Villanova University,University of Pennsylvania,1,0,08-23-2024
Dartmouth College,Marshall University,1,0,08-23-2024
Princeton University,University of Miami (Florida),1,0,08-23-2024
Hofstra University,Columbia University-Barnard College,0,0,08-23-2024
Clemson University,West Virginia University,3,0,08-23-2024
University of Rhode Island,Brown University,1,0,08-23-2024
Sam Houston State University,Houston Christian University,4,2,08-23-2024
Boise State University,Idaho State University,3,1,08-23-2024
Virginia Military Institute,Emory & Henry University,2,0,08-24-2024
U.S. Naval Academy,"Fairleigh Dickinson University, Metropolitan Campus",3,2,08-24-2024
"Texas A&M University, College Station",Fairfield University,3,0,08-24-2024
New Mexico State University,Texas A&M University-Commerce,2,1,08-24-2024
Long Beach State University,Brigham Young University,1,1,08-24-2024
Manhattan University,Wagner College,3,0,08-25-2024
University of North Florida,Alabama A&M University,2,0,08-25-2024
"University of Colorado, Boulder",University of Michigan,2,0,08-25-2024
Rice University,The University of Texas Rio Grande Valley,1,0,08-25-2024
Saint Peter's University,Hampton University,4,3,08-25-2024
"University of North Carolina, Chapel Hill",University of Arizona,2,0,08-25-2024
Mount St. Mary's University,New Jersey Institute of Technology,0,1,08-25-2024
Delaware State University,University of South Carolina Upstate,0,4,08-25-2024
