team,wins,losses,draws,wp,owp,oowp,rpi
University of Arkansas at Little Rock,7,5,9,0.55,0.45,0.48,0.48
University of Delaware,5,8,8,0.43,0.49,0.5,0.48
"University of Maryland, College Park",3,11,7,0.31,0.53,0.55,0.48
University of Missouri-Kansas City,5,7,10,0.45,0.49,0.5,0.48
"University of Nevada, Las Vegas",8,8,6,0.5,0.46,0.49,0.48
University of North Dakota,7,6,9,0.52,0.47,0.47,0.48
University of North Florida,6,10,6,0.41,0.51,0.5,0.48
University of Pennsylvania,6,9,3,0.42,0.49,0.52,0.48
University of Rhode Island,5,11,6,0.36,0.53,0.5,0.48
University of South Carolina Upstate,12,5,4,0.67,0.39,0.45,0.48
University of South Dakota,8,8,4,0.5,0.48,0.48,0.48
Villanova University,6,7,7,0.47,0.47,0.53,0.48
Bryant University,9,6,4,0.58,0.42,0.48,0.47
"California State University, Fresno",6,9,7,0.43,0.48,0.49,0.47
Colorado College,5,15,2,0.27,0.54,0.51,0.47
Indiana State University,4,6,10,0.45,0.48,0.48,0.47
McNeese State University,10,11,4,0.48,0.47,0.46,0.47
Middle Tennessee State University,7,10,3,0.42,0.5,0.48,0.47
New Jersey Institute of Technology,8,7,6,0.52,0.46,0.46,0.47
Oakland University,5,8,8,0.43,0.49,0.48,0.47
Robert Morris University,12,6,4,0.64,0.39,0.47,0.47
St. Mary's University (Texas),1,1,0,0.5,0.46,0.45,0.47
Texas A&M University-Commerce,10,9,3,0.52,0.44,0.49,0.47
The University of North Carolina at Greensboro,7,10,4,0.43,0.48,0.5,0.47
University at Albany,5,12,2,0.32,0.53,0.48,0.47
"University of Hawaii, Manoa",6,11,3,0.38,0.5,0.5,0.47
University of North Carolina Wilmington,7,10,4,0.43,0.48,0.5,0.47
University of Oregon,2,18,3,0.15,0.61,0.53,0.47
University of Wyoming,6,10,6,0.41,0.49,0.49,0.47
Youngstown State University,8,8,4,0.5,0.45,0.47,0.47
Abilene Christian University,7,9,4,0.45,0.46,0.48,0.46
Kansas State University,4,14,3,0.26,0.53,0.53,0.46
Loyola Marymount University,7,11,3,0.4,0.46,0.5,0.46
Murray State University,6,10,7,0.41,0.48,0.49,0.46
San Jose State University,3,12,8,0.3,0.53,0.49,0.46
Southeast Missouri State University,7,7,6,0.5,0.43,0.48,0.46
Troy University,7,12,2,0.38,0.48,0.5,0.46
"University of California, San Diego",6,10,5,0.4,0.47,0.51,0.46
University of Detroit Mercy,7,12,4,0.39,0.49,0.46,0.46
University of Evansville,1,8,10,0.32,0.52,0.47,0.46
University of Illinois Chicago,7,10,5,0.43,0.46,0.49,0.46
University of North Carolina Asheville,7,8,4,0.47,0.46,0.46,0.46
University of St. Thomas (Minnesota),3,9,5,0.32,0.53,0.47,0.46
University of Tennessee at Martin,5,9,7,0.4,0.49,0.47,0.46
Wright State University,5,9,6,0.4,0.48,0.48,0.46
Austin Peay State University,6,11,7,0.4,0.45,0.48,0.45
Belmont University,3,10,7,0.33,0.5,0.48,0.45
Central Michigan University,3,9,6,0.33,0.49,0.5,0.45
Charleston Southern University,10,5,4,0.63,0.35,0.45,0.45
College of Charleston (South Carolina),4,11,5,0.33,0.49,0.49,0.45
Colorado School of Mines,0,0,1,0.5,0.4,0.49,0.45
Eastern Kentucky University,6,11,6,0.39,0.47,0.48,0.45
Eastern Michigan University,3,12,6,0.29,0.5,0.49,0.45
Elon University,5,9,5,0.39,0.47,0.48,0.45
Fordham University,7,10,4,0.43,0.44,0.5,0.45
Idaho State University,5,14,3,0.3,0.51,0.47,0.45
Kennesaw State University,4,12,7,0.33,0.5,0.48,0.45
Longwood University,5,9,6,0.4,0.47,0.45,0.45
Northwestern State University,6,13,3,0.34,0.48,0.49,0.45
Purdue University Fort Wayne,7,7,7,0.5,0.41,0.47,0.45
Queens University of Charlotte,6,8,8,0.45,0.43,0.47,0.45
Southeastern Louisiana University,6,11,3,0.38,0.49,0.46,0.45
St. Ambrose,0,1,0,0.0,0.68,0.44,0.45
"University of Nevada, Reno",8,12,5,0.42,0.45,0.49,0.45
University of Texas at El Paso,3,12,5,0.28,0.52,0.47,0.45
University of Toledo,7,11,3,0.4,0.45,0.48,0.45
University of Wisconsin-Parkside,0,1,0,0.0,0.67,0.46,0.45
Viterbo,0,1,0,0.0,0.68,0.44,0.45
Ashland University,0,1,0,0.0,0.57,0.63,0.44
Augustana University (South Dakota),0,1,0,0.0,0.65,0.47,0.44
Bellarmine University,5,10,5,0.38,0.46,0.46,0.44
Emory & Henry College,0,1,0,0.0,0.65,0.46,0.44
"Fairleigh Dickinson University, Metropolitan Campus",8,13,0,0.38,0.47,0.46,0.44
Florida Col.,0,1,0,0.0,0.6,0.55,0.44
Houston Christian University,9,13,0,0.41,0.44,0.47,0.44
Illinois State University,3,10,5,0.31,0.48,0.48,0.44
Manitoba (CAN),0,1,0,0.0,0.65,0.47,0.44
Mount St. Mary's University,8,10,3,0.45,0.43,0.45,0.44
Sacred Heart University,6,12,4,0.36,0.47,0.45,0.44
Siena College,5,10,4,0.37,0.46,0.46,0.44
