team,wins,losses,draws,wp,owp,oowp,rpi
University of Alabama at Birmingham,1,1,1,0.5,0.58,0.42,0.52
University of Kansas,1,0,1,0.75,0.5,0.34,0.52
University of Mississippi,2,0,0,1.0,0.25,0.58,0.52
University of Nebraska-Lincoln,1,2,0,0.33,0.58,0.58,0.52
University of Portland,1,0,1,0.75,0.25,0.83,0.52
University of San Diego,0,2,1,0.17,0.67,0.58,0.52
Western Carolina University,1,2,0,0.33,0.75,0.25,0.52
Abilene Christian University,0,0,2,0.5,0.5,0.5,0.5
Auburn University,2,0,0,1.0,0.0,1.0,0.5
Central Michigan University,0,1,0,0.0,1.0,0.0,0.5
Clemson University,0,1,0,0.0,1.0,0.0,0.5
Cleveland State University,0,2,0,0.0,0.75,0.5,0.5
College of Charleston (South Carolina),2,0,0,1.0,0.0,1.0,0.5
College of the Holy Cross,0,1,0,0.0,1.0,0.0,0.5
John Brown,0,1,0,0.0,0.5,1.0,0.5
Le Moyne College,0,1,0,0.0,1.0,0.0,0.5
Northern Kentucky University,0,1,0,0.0,0.5,1.0,0.5
Providence College,2,0,0,1.0,0.0,1.0,0.5
Saint Francis University ,0,1,0,0.0,0.5,1.0,0.5
Seton Hall University,1,1,0,0.5,0.5,0.5,0.5
Southern Methodist University,1,1,0,0.5,0.5,0.5,0.5
The University of Southern Mississippi,0,1,0,0.0,1.0,0.0,0.5
Union University,0,1,0,0.0,0.5,1.0,0.5
University of Detroit Mercy,0,3,0,0.0,0.92,0.17,0.5
University of Findlay,0,1,0,0.0,1.0,0.0,0.5
University of Houston,0,1,1,0.25,0.75,0.25,0.5
University of Michigan,0,1,0,0.0,0.75,0.5,0.5
University of New Mexico,1,0,0,1.0,0.0,1.0,0.5
University of Pennsylvania,0,1,0,0.0,1.0,0.0,0.5
University of Rhode Island,0,1,0,0.0,1.0,0.0,0.5
"University of South Carolina, Columbia",1,0,0,1.0,0.0,1.0,0.5
University of Utah,1,0,1,0.75,0.25,0.75,0.5
Virginia Polytechnic Institute and State University,1,0,0,1.0,0.0,1.0,0.5
Wright State University,0,1,0,0.0,0.75,0.5,0.5
Xavier University,1,0,0,1.0,0.0,1.0,0.5
Bowling Green State University,2,0,0,1.0,0.0,0.96,0.49
U.S. Air Force Academy,2,0,0,1.0,0.25,0.46,0.49
"University of California, Irvine",1,0,1,0.75,0.38,0.46,0.49
University of Kentucky,2,0,0,1.0,0.0,0.96,0.49
Manhattan University,1,2,0,0.33,0.67,0.25,0.48
The University of Tulsa,1,1,1,0.5,0.5,0.42,0.48
"University of Hawaii, Manoa",1,2,0,0.33,0.67,0.25,0.48
University of North Alabama,1,1,0,0.5,0.5,0.41,0.48
University of North Texas,1,2,0,0.33,0.5,0.61,0.48
University of Oregon,2,1,0,0.67,0.33,0.58,0.48
University of Wyoming,0,1,1,0.25,0.75,0.19,0.48
Villanova University,2,0,0,1.0,0.0,0.92,0.48
Eastern Illinois University,1,1,0,0.5,0.5,0.38,0.47
Middle Tennessee State University,0,1,0,0.0,0.75,0.38,0.47
Old Dominion University,2,1,0,0.67,0.33,0.53,0.47
University of the Pacific,1,1,0,0.5,0.5,0.4,0.47
California Baptist University,1,2,0,0.33,0.5,0.5,0.46
Oral Roberts University,1,2,0,0.33,0.5,0.52,0.46
Tarleton State University,1,0,3,0.62,0.33,0.56,0.46
Temple University,0,3,0,0.0,0.83,0.17,0.46
Virginia Commonwealth University,0,2,0,0.0,0.75,0.33,0.46
University of Missouri-Kansas City,1,0,2,0.67,0.25,0.65,0.45
University of North Dakota,1,0,2,0.67,0.25,0.65,0.45
Gardner-Webb University,0,2,0,0.0,0.75,0.25,0.44
Loyola University Maryland,2,1,0,0.67,0.33,0.42,0.44
Marquette University,0,2,1,0.17,0.58,0.42,0.44
Niagara University,2,0,0,1.0,0.0,0.75,0.44
University at Albany,1,1,0,0.5,0.5,0.25,0.44
University of Idaho,2,0,0,1.0,0.0,0.75,0.44
Colorado College,1,2,0,0.33,0.5,0.39,0.43
Louisiana Tech University,0,1,2,0.33,0.5,0.38,0.43
Saint Peter's University,1,1,0,0.5,0.5,0.21,0.43
Colorado State University,1,1,1,0.5,0.33,0.5,0.42
"Southern University, Baton Rouge",0,3,0,0.0,0.67,0.33,0.42
St. Bonaventure University,0,3,0,0.0,0.67,0.33,0.42
"University of California, Santa Barbara",0,1,1,0.25,0.5,0.42,0.42
Wake Forest University,1,0,1,0.75,0.0,0.92,0.42
Lipscomb University,1,0,1,0.75,0.0,0.83,0.4
Georgia State University,0,1,1,0.25,0.5,0.29,0.39
Gonzaga University,0,1,1,0.25,0.5,0.29,0.39
"Texas A&M University, College Station",1,1,0,0.5,0.25,0.54,0.39
Bucknell University,1,0,0,1.0,0.0,0.5,0.38
"California State University, Bakersfield",0,2,0,0.0,0.5,0.5,0.38
"California State University, Sacramento",1,1,1,0.5,0.33,0.37,0.38
Delaware State University,0,1,0,0.0,0.5,0.5,0.38
Drake University,0,0,1,0.5,0.5,0.0,0.38
Emory & Henry University,0,1,0,0.0,0.5,0.5,0.38
Florida Atlantic University,0,2,1,0.17,0.5,0.33,0.38
Nicholls State University,0,0,1,0.5,0.25,0.5,0.38
